"standingId",competition,competitionTier,"season","position","teamId","team","played","points","won","drawn","lost","goals","goalsAgainst","goalsDifference","yellowCards","redCards","note"
"TIER_ONE-2013-1",V.League 1,TIER_ONE,"2013","1","HAN","Hà Nội","20","38","11","4","5","46","24","22",,,
"TIER_ONE-2013-2",V.League 1,TIER_ONE,"2013","2","GLA","Hoàng Anh Gia Lai","20","35","10","5","5","24","16","8",,,
"TIER_ONE-2013-3",V.League 1,TIER_ONE,"2013","3","DAN","SHB Đà Nẵng","20","35","10","5","5","29","24","5",,,
"TIER_ONE-2013-4",V.League 1,TIER_ONE,"2013","4","NAN","Sông Lam Nghệ An","20","33","9","5","6","40","24","16",,,
"TIER_ONE-2013-5",V.League 1,TIER_ONE,"2013","5","THH","Đông Á Thanh Hóa","20","33","9","5","6","40","33","7",,,
"TIER_ONE-2013-6",V.League 1,TIER_ONE,"2013","6","HAP","Hải Phòng","20","26","7","8","5","39","28","11",,,
"TIER_ONE-2013-7",V.League 1,TIER_ONE,"2013","7","DON","Đồng Nai","20","25","6","7","7","27","36","-9",,,
"TIER_ONE-2013-8",V.League 1,TIER_ONE,"2013","8","BIDU","Becamex Bình Dương","20","23","6","9","5","34","35","-1",,,
"TIER_ONE-2013-9",V.League 1,TIER_ONE,"2013","9","LAN","Long An","20","22","7","12","1","31","53","-22",,,
"TIER_ONE-2013-10",V.League 1,TIER_ONE,"2013","10",,"XM The Vissai Ninh Bình","20","18","4","10","6","23","32","-9",,,
"TIER_ONE-2013-11",V.League 1,TIER_ONE,"2013","11",,"Kienlongbank Kiên Giang","20","14","3","12","5","24","52","-28",,,